row_name,frame_index,bbox_width,bbox_height,alpha_area,center_x,center_y,baseline_y,margins,scale_factor
idle,0,163,189,16638,95.5,105.5,200,"{""left"": 14, ""top"": 11, ""right"": 15, ""bottom"": 8}",1.0
idle,1,154,171,13153,96.0,114.5,200,"{""left"": 19, ""top"": 29, ""right"": 19, ""bottom"": 8}",1.0
idle,2,154,171,13153,96.0,114.5,200,"{""left"": 19, ""top"": 29, ""right"": 19, ""bottom"": 8}",1.0
idle,3,173,192,17083,95.5,104.0,200,"{""left"": 9, ""top"": 8, ""right"": 10, ""bottom"": 8}",1.0
idle,4,165,194,16415,95.5,104.0,201,"{""left"": 13, ""top"": 7, ""right"": 14, ""bottom"": 7}",1.0
idle,5,165,194,16415,95.5,104.0,201,"{""left"": 13, ""top"": 7, ""right"": 14, ""bottom"": 7}",1.0
running-right,0,183,85,7336,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-right,1,182,86,6270,96.0,156.0,199,"{""left"": 5, ""top"": 113, ""right"": 5, ""bottom"": 9}",1.0
running-right,2,182,84,6944,95.0,156.0,198,"{""left"": 4, ""top"": 114, ""right"": 6, ""bottom"": 10}",1.0
running-right,3,181,94,7472,96.5,153.0,200,"{""left"": 6, ""top"": 106, ""right"": 5, ""bottom"": 8}",1.0
running-right,4,183,85,7176,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-right,5,182,91,7434,96.0,152.5,198,"{""left"": 5, ""top"": 107, ""right"": 5, ""bottom"": 10}",1.0
running-right,6,183,96,7437,96.5,151.0,199,"{""left"": 5, ""top"": 103, ""right"": 4, ""bottom"": 9}",1.0
running-right,7,182,84,7227,97.0,157.0,199,"{""left"": 6, ""top"": 115, ""right"": 4, ""bottom"": 9}",1.0
running-left,0,183,85,7336,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-left,1,182,86,6270,97.0,156.0,199,"{""left"": 6, ""top"": 113, ""right"": 4, ""bottom"": 9}",1.0
running-left,2,182,84,6944,97.0,156.0,198,"{""left"": 6, ""top"": 114, ""right"": 4, ""bottom"": 10}",1.0
running-left,3,181,94,7472,96.5,153.0,200,"{""left"": 6, ""top"": 106, ""right"": 5, ""bottom"": 8}",1.0
running-left,4,183,85,7176,96.5,155.5,198,"{""left"": 5, ""top"": 113, ""right"": 4, ""bottom"": 10}",1.0
running-left,5,182,91,7434,96.0,152.5,198,"{""left"": 5, ""top"": 107, ""right"": 5, ""bottom"": 10}",1.0
running-left,6,183,96,7437,96.5,151.0,199,"{""left"": 5, ""top"": 103, ""right"": 4, ""bottom"": 9}",1.0
running-left,7,182,84,7227,96.0,157.0,199,"{""left"": 5, ""top"": 115, ""right"": 5, ""bottom"": 9}",1.0
waving,0,166,187,14463,97.0,106.5,200,"{""left"": 14, ""top"": 13, ""right"": 12, ""bottom"": 8}",1.0
waving,1,174,190,14200,96.0,105.0,200,"{""left"": 9, ""top"": 10, ""right"": 9, ""bottom"": 8}",1.0
waving,2,174,172,12264,96.0,114.0,200,"{""left"": 9, ""top"": 28, ""right"": 9, ""bottom"": 8}",1.0
waving,3,177,167,11583,96.5,116.5,200,"{""left"": 8, ""top"": 33, ""right"": 7, ""bottom"": 8}",1.0
jumping,0,178,108,11229,96.0,147.0,201,"{""left"": 7, ""top"": 93, ""right"": 7, ""bottom"": 7}",1.0
jumping,1,177,149,9874,95.5,99.5,174,"{""left"": 7, ""top"": 25, ""right"": 8, ""bottom"": 34}",1.0
jumping,2,178,62,6494,96.0,170.0,201,"{""left"": 7, ""top"": 139, ""right"": 7, ""bottom"": 7}",1.0
jumping,3,177,127,9377,95.5,132.5,196,"{""left"": 7, ""top"": 69, ""right"": 8, ""bottom"": 12}",1.0
jumping,4,168,152,11102,96.0,95.0,171,"{""left"": 12, ""top"": 19, ""right"": 12, ""bottom"": 37}",1.0
failed,0,162,186,15842,96.0,107.0,200,"{""left"": 15, ""top"": 14, ""right"": 15, ""bottom"": 8}",1.0
failed,1,179,174,17249,95.5,113.0,200,"{""left"": 6, ""top"": 26, ""right"": 7, ""bottom"": 8}",1.0
failed,2,184,95,11459,96.0,152.5,200,"{""left"": 4, ""top"": 105, ""right"": 4, ""bottom"": 8}",1.0
failed,3,184,95,11459,96.0,152.5,200,"{""left"": 4, ""top"": 105, ""right"": 4, ""bottom"": 8}",1.0
failed,4,181,96,9837,95.5,152.0,200,"{""left"": 5, ""top"": 104, ""right"": 6, ""bottom"": 8}",1.0
failed,5,181,96,9837,95.5,152.0,200,"{""left"": 5, ""top"": 104, ""right"": 6, ""bottom"": 8}",1.0
failed,6,181,96,9837,95.5,152.0,200,"{""left"": 5, ""top"": 104, ""right"": 6, ""bottom"": 8}",1.0
failed,7,181,96,9837,95.5,152.0,200,"{""left"": 5, ""top"": 104, ""right"": 6, ""bottom"": 8}",1.0
waiting,0,120,189,14405,96.0,105.5,200,"{""left"": 36, ""top"": 11, ""right"": 36, ""bottom"": 8}",1.0
waiting,1,136,188,11466,95.0,106.0,200,"{""left"": 27, ""top"": 12, ""right"": 29, ""bottom"": 8}",1.0
waiting,2,184,187,13407,96.0,105.5,199,"{""left"": 4, ""top"": 12, ""right"": 4, ""bottom"": 9}",1.0
waiting,3,184,187,13407,96.0,105.5,199,"{""left"": 4, ""top"": 12, ""right"": 4, ""bottom"": 9}",1.0
waiting,4,136,188,11466,95.0,106.0,200,"{""left"": 27, ""top"": 12, ""right"": 29, ""bottom"": 8}",1.0
waiting,5,120,189,14405,96.0,105.5,200,"{""left"": 36, ""top"": 11, ""right"": 36, ""bottom"": 8}",1.0
running,0,177,186,22108,95.5,107.0,200,"{""left"": 7, ""top"": 14, ""right"": 8, ""bottom"": 8}",1.0
running,1,178,159,18147,96.0,120.5,200,"{""left"": 7, ""top"": 41, ""right"": 7, ""bottom"": 8}",1.0
running,2,178,159,18147,96.0,120.5,200,"{""left"": 7, ""top"": 41, ""right"": 7, ""bottom"": 8}",1.0
running,3,177,170,20308,95.5,115.0,200,"{""left"": 7, ""top"": 30, ""right"": 8, ""bottom"": 8}",1.0
running,4,177,179,20651,95.5,110.5,200,"{""left"": 7, ""top"": 21, ""right"": 8, ""bottom"": 8}",1.0
running,5,177,179,20651,95.5,110.5,200,"{""left"": 7, ""top"": 21, ""right"": 8, ""bottom"": 8}",1.0
review,0,130,194,14562,96.0,104.0,201,"{""left"": 31, ""top"": 7, ""right"": 31, ""bottom"": 7}",1.0
review,1,130,193,13958,96.0,103.5,200,"{""left"": 31, ""top"": 7, ""right"": 31, ""bottom"": 8}",1.0
review,2,130,193,13958,96.0,103.5,200,"{""left"": 31, ""top"": 7, ""right"": 31, ""bottom"": 8}",1.0
review,3,130,193,15029,96.0,103.5,200,"{""left"": 31, ""top"": 7, ""right"": 31, ""bottom"": 8}",1.0
review,4,130,193,13958,96.0,103.5,200,"{""left"": 31, ""top"": 7, ""right"": 31, ""bottom"": 8}",1.0
review,5,130,193,13958,96.0,103.5,200,"{""left"": 31, ""top"": 7, ""right"": 31, ""bottom"": 8}",1.0
